price,score,name,link
65.00,92,Croix Canon 2012,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/croix-canon-2012-671289
75.00,96,Brancaia Ilatraia 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/brancaia-ilatraia-2015-685230
30.95,89,Jean Pabiot et Fils Domaine des Fines Caillottes Pouilly-Fumé 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/jean-pabiot-et-fils-domaine-des-fines-caillottes-pouilly-fum%C3%A9-2018-695908
59.00,92,Château La Nerthe Châteauneuf-du-Pape Blanc 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ch%C3%A2teau-la-nerthe-ch%C3%A2teauneuf-du-pape-blanc-2018-704429
653.00,100,Vérité La Joie 2007,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/v%C3%A9rit%C3%A9-la-joie-2007-710285
105.00,91,Patrick Javillier Les Tillets Meursault 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/patrick-javillier-les-tillets-meursault-2018-714899
69.00,95,San Felice Poggio Rosso Gran Selezione Chianti Classico 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/san-felice-poggio-rosso-gran-selezione-chianti-classico-2016-902809
22.95,90,Bogle Vineyards Cabernet Sauvignon 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/bogle-vineyards-cabernet-sauvignon-2016-904565
49.95,92,La Crema Russian River Valley Pinot Noir 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/la-crema-russian-river-valley-pinot-noir-2015-906404
27.95,94,Lapostolle Cuvée Alexandre Cabernet Sauvignon 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/lapostolle-cuv%C3%A9e-alexandre-cabernet-sauvignon-2015-947929
16.95,88,Famille Perrin Nature Côtes du Rhône 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/famille-perrin-nature-c%C3%B4tes-du-rh%C3%B4ne-2017-948059
21.95,92,Barón de Ley Reserva 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/bar%C3%B3n-de-ley-reserva-2015-958868
27.95,93,Condado de Haza Crianza 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/condado-de-haza-crianza-2014-963348
17.95,92,Domaine de La Madone Le Perréon Beaujolais-Villages 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/domaine-de-la-madone-le-perr%C3%A9on-beaujolais-villages-2018-981175
17.95,93,Mount Riley Sauvignon Blanc 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/mount-riley-sauvignon-blanc-2019-981670
